Herramientas;Año;Porcentaje
Jest;2017;25
Jest;2018;10
Jest;2019;22
Jest;2020;30
Jest;2021;35
Jest;2022;5
Jest;2023;40
Mocha;2017;16
Mocha;2018;20
Mocha;2019;10
Mocha;2020;14
Mocha;2021;18
Mocha;2022;22
Mocha;2023;12
Selenium;2017;12
Selenium;2018;5
Selenium;2019;8
Selenium;2020;10
Selenium;2021;14
Selenium;2022;16
Selenium;2023;6
JUnit;2017;40
JUnit;2018;30
JUnit;2019;25
JUnit;2020;35
JUnit;2021;50
JUnit;2022;45
JUnit;2023;55
Cypress;2017;28
Cypress;2018;12
Cypress;2019;20
Cypress;2020;22
Cypress;2021;18
Cypress;2022;25
Cypress;2023;15
Karma;2017;13
Karma;2018;9
Karma;2019;11
Karma;2020;8
Karma;2021;12
Karma;2022;14
Karma;2023;10
Jasmine;2017;9
Jasmine;2018;10
Jasmine;2019;7
Jasmine;2020;12
Jasmine;2021;8
Jasmine;2022;11
Jasmine;2023;13
TestNG;2017;7
TestNG;2018;8
TestNG;2019;12
TestNG;2020;6
TestNG;2021;9
TestNG;2022;10
TestNG;2023;11
Puppeteer;2017;7
Puppeteer;2018;4
Puppeteer;2019;8
Puppeteer;2020;5
Puppeteer;2021;10
Puppeteer;2022;9
Puppeteer;2023;6
Chai;2017;16
Chai;2018;5
Chai;2019;14
Chai;2020;12
Chai;2021;9
Chai;2022;10
Chai;2023;18
