Lenguaje;Año;Porcentaje;;
Python;2017;20;;
Python;2018;25;;
Python;2019;30;;
Python;2020;40;;
Python;2021;45;;
Python;2022;50;;
Python;2023;55;;
JavaScript;2017;30;;
JavaScript;2018;35;;
JavaScript;2019;40;;
JavaScript;2020;45;;
JavaScript;2021;50;;
JavaScript;2022;55;;
JavaScript;2023;60;;
Java;2017;15;;
Java;2018;18;;
Java;2019;20;;
Java;2020;25;;
Java;2021;30;;
Java;2022;35;;
Java;2023;40;;
C#;2017;12;;
C#;2018;15;;
C#;2019;18;;
C#;2020;22;;
C#;2021;28;;
C#;2022;34;;
C#;2023;38;;
C++;2017;10;;
C++;2018;12;;
C++;2019;14;;
C++;2020;18;;
C++;2021;22;;
C++;2022;28;;
C++;2023;32;;
Go;2017;8;;
Go;2018;10;;
Go;2019;12;;
Go;2020;15;;
Go;2021;18;;
Go;2022;22;;
Go;2023;25;;
Ruby;2017;6;;
Ruby;2018;7;;
Ruby;2019;9;;
Ruby;2020;12;;
Ruby;2021;15;;
Ruby;2022;18;;
Ruby;2023;20;;
PHP;2017;4;;
PHP;2018;5;;
PHP;2019;7;;
PHP;2020;9;;
PHP;2021;11;;
PHP;2022;13;;
PHP;2023;15;;
Swift;2017;18;;
Swift;2018;20;;
Swift;2019;22;;
Swift;2020;25;;
Swift;2021;30;;
Swift;2022;35;;
Swift;2023;40;;
Kotlin;2017;5;;
Kotlin;2018;6;;
Kotlin;2019;8;;
Kotlin;2020;10;;
Kotlin;2021;12;;
Kotlin;2022;14;;
Kotlin;2023;16;;
